Case,Sample 1,Sample 2,Sample 3
00000072_000.png,1,5,1
00000150_002.png,5,5,3
00000181_061.png,4,4,3
00000211_019.png,4,4,2
00000211_041.png,3,5,2
00000344_003.png,2,3,1
00000468_033.png,2,5,5
00000808_002.png,2,3,3
00000830_000.png,3,3,3
00000974_002.png,1,4,1
00001075_024.png,3,2,3
00001187_006.png,2,1,1
00002350_001.png,5,3,3
00002578_000.png,4,3,2
00002583_014.png,4,4,3
00002597_000.png,5,4,5
00002706_004.png,1,1,1
00002711_000.png,5,3,3
00002763_031.png,4,4,2
00002856_009.png,2,2,5
00002980_000.png,5,5,5
00003072_028.png,2,2,3
00003333_002.png,3,5,5
00003391_001.png,3,3,1
00003400_003.png,3,2,2
00003787_003.png,3,5,5
00003894_005.png,5,5,5
00003973_008.png,1,3,3
00004808_090.png,4,5,3
00004911_018.png,4,4,4
00005089_014.png,4,1,4
00005215_000.png,5,1,5
00005353_000.png,5,5,4
00006323_009.png,2,4,1
00006948_002.png,4,3,2
00007034_016.png,1,5,1
00007558_006.png,3,1,1
00007882_001.png,4,5,2
00008008_027.png,2,4,2
00008386_000.png,2,5,4
00008547_001.png,3,2,2
00008554_009.png,2,5,5
00008814_010.png,2,2,1
00009368_006.png,4,4,2
00009437_008.png,5,5,3
00009507_004.png,3,5,5
00009619_000.png,5,5,2
00010060_038.png,2,1,1
00010103_014.png,5,3,1
00010277_000.png,3,4,4
00010381_000.png,3,1,3
00010447_018.png,3,3,3
00010815_006.png,4,4,5
00010936_016.png,2,5,1
00011157_001.png,4,5,2
00011237_006.png,3,1,5
00011269_019.png,1,3,1
00011355_011.png,4,5,3
00011450_000.png,4,4,3
00011502_001.png,5,1,1
